Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"the case printing","its the case",1,5.33,"","printing legion"
"7 in 1 combo of 60 watt soldering iron starter kit for project work","soldering stuff",1,2.54,"https://electronicspices.com/product/7-in-1-combo-of-60-watt-soldering-iron-starter-kit-for-project-work","electro spices"
"Blank DSA Keycaps","the keykaps",3,3.19,"https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/","meckeys"
"25x M3 Heatset inserts","to screw the parts togather",1,0.95,"https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/","robu"
"10x Tactile switches","to press buttons",1,1.91,"https://www.thecosmicbyte.com/product/kailh-mechanical-switches-for-swappable-keyboards-pack-of-10/?attribute_pa_switch-type=blue-switch&utm_source=Google%20Shopping&utm_campaign=googlefeeds&utm_medium=cpc&utm_term=249113","the cosmic byte"
"1.8"" TFT display","to display th spotify",1,1.73,"https://robokits.co.in/displays/lcd-display/1.8-inch-st7735-tft-lcd-module-with-4-io-128160","robokits"
"1x ESP32 Board","it uis the board of the project",1,3.00,"https://hubtronics.in/esp32-c3-super-mini-unsoldered","hubtronics"
